Rk,NBA_Player,Pos,NBA_Age,NBA_Tm,NBA_G,NBA_MP,NBA_PER,NBA_TS%,NBA_3PAr,NBA_FTr,NBA_ORB%,NBA_DRB%,NBA_TRB%,NBA_AST%,NBA_STL%,NBA_BLK%,NBA_TOV%,NBA_USG%,,NBA_OWS,NBA_DWS,NBA_WS,NBA_WS/48,,NBA_OBPM,NBA_DBPM,NBA_BPM,NBA_VORP
199,Willy Hernangomez\hernawi01,C,23,NYK,23,222,16.6,0.593,0.051,0.308,11.5,20.4,16.1,15.2,1.6,2.4,22.7,22.8,,0.1,0.3,0.3,0.070,,-0.9,0.7,-0.2,0.1
200,Mario Hezonja\hezonma01,SF,22,ORL,40,691,11.3,0.538,0.441,0.114,3.3,15.6,9.4,8.1,1.9,0.8,13.2,18.7,,0.0,0.5,0.5,0.034,,-1.8,-1.0,-2.8,-0.1
201,Buddy Hield\hieldbu01,SG,24,SAC,46,1115,15.8,0.561,0.433,0.098,2.6,15.2,8.7,11.6,1.9,0.8,11.1,23.7,,0.9,0.6,1.5,0.064,,1.0,-2.0,-1.1,0.3
202,Nene Hilario\hilarne01,C,35,HOU,31,459,17.4,0.623,0.013,0.443,7.4,18.5,12.9,9.8,1.8,1.7,12.7,19.3,,1.1,0.6,1.6,0.169,,-1.0,0.3,-0.6,0.2
203,George Hill\hillge01,PG,31,SAC,38,1027,13.9,0.587,0.393,0.288,2.2,10.4,6.1,15.6,1.8,1.1,14.0,16.9,,1.3,0.4,1.7,0.080,,0.5,-1.1,-0.6,0.4
204,Darrun Hilliard\hillida01,SG,24,SAS,9,57,-2.4,0.210,0.364,0.182,0.0,7.8,3.9,9.3,1.8,0.0,20.2,11.8,,-0.2,0.1,-0.1,-0.108,,-9.1,0.2,-8.9,-0.1
205,Jrue Holiday\holidjr01,SG,27,NOP,48,1776,16.8,0.581,0.333,0.194,2.0,11.1,6.7,21.5,1.9,1.4,13.8,22.1,,2.5,1.4,3.8,0.104,,1.5,-0.4,1.1,1.4
206,Justin Holiday\holidju01,SG,28,CHI,48,1640,11.5,0.522,0.554,0.228,1.8,12.8,7.2,10.0,1.5,1.5,9.3,18.1,,0.6,1.3,1.9,0.055,,-0.5,0.1,-0.4,0.7
207,John Holland\hollajo02,SF,29,CLE,4,17,-1.2,0.375,0.500,0.000,0.0,13.0,6.6,0.0,0.0,0.0,20.0,13.1,,0.0,0.0,-0.1,-0.143,,-9.5,-5.2,-14.7,-0.1
208,Rondae Hollis-Jefferson\holliro01,SF,23,BRK,46,1301,17.2,0.550,0.085,0.423,5.4,19.0,12.1,13.8,1.4,1.8,11.5,22.3,,1.7,1.5,3.2,0.117,,-1.1,1.2,0.1,0.7
209,Richaun Holmes\holmeri01,C,24,PHI,24,367,14.9,0.549,0.159,0.190,8.3,22.7,15.8,11.0,1.2,2.3,9.3,17.4,,0.5,0.6,1.1,0.144,,-1.3,0.9,-0.5,0.1
210,Rodney Hood\hoodro01,SG,25,UTA,36,1017,14.6,0.538,0.482,0.167,1.4,10.6,5.9,10.5,1.4,0.6,10.0,27.7,,0.2,0.8,1.0,0.048,,0.2,-2.7,-2.6,-0.1
211,Al Horford\horfoal01,C,31,BOS,44,1437,18.8,0.598,0.320,0.150,5.0,20.7,13.0,26.1,0.9,2.7,14.8,17.9,,3.1,2.6,5.7,0.191,,1.9,3.2,5.0,2.6
212,Danuel House\houseda01,SG,24,PHO,12,148,9.8,0.496,0.457,0.370,4.3,14.1,9.1,5.9,1.3,0.0,8.5,16.7,,0.1,0.1,0.1,0.040,,-2.3,-2.6,-4.9,-0.1
213,Dwight Howard\howardw01,C,32,CHO,47,1442,19.1,0.560,0.004,0.738,12.1,32.5,22.2,7.4,1.1,4.7,17.9,23.9,,0.8,2.6,3.4,0.114,,-2.8,2.7,-0.1,0.7
214,Josh Huestis\huestjo01,PF,26,OKC,42,606,6.1,0.444,0.673,0.100,4.3,13.6,8.8,2.8,1.1,4.5,14.2,9.6,,-0.3,0.8,0.5,0.039,,-4.2,1.3,-2.9,-0.1
215,R.J. Hunter\hunterj01,SG,24,HOU,2,2,38.8,,,,0.0,57.3,28.4,100.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.575,,-2.4,-3.7,-6.0,0.0
216,Vince Hunter\huntevi01,PF,23,MEM,4,7,36.8,0.600,0.000,0.000,33.0,16.7,24.9,0.0,0.0,13.2,16.7,39.1,,0.0,0.0,0.0,0.115,,-3.1,-5.8,-8.9,0.0
217,Serge Ibaka\ibakase01,PF,28,TOR,42,1179,14.7,0.564,0.368,0.147,4.0,19.9,12.1,4.0,0.7,4.1,9.0,19.6,,1.2,1.7,2.8,0.116,,-0.9,0.5,-0.4,0.5
218,Andre Iguodala\iguodan01,SF,34,GSW,41,1055,10.5,0.499,0.349,0.297,4.2,11.7,8.3,16.0,1.5,1.8,15.1,11.5,,0.9,1.0,1.9,0.087,,-0.9,0.9,0.0,0.5
219,Ersan Ilyasova\ilyaser01,PF,30,ATL,37,955,15.1,0.560,0.418,0.213,7.9,17.3,12.5,7.7,1.8,1.0,9.3,18.2,,1.4,0.8,2.1,0.106,,0.8,-0.6,0.1,0.5
220,Joe Ingles\inglejo01,SF,30,UTA,49,1502,12.7,0.604,0.682,0.070,1.2,14.8,7.9,20.7,1.7,0.5,18.0,14.6,,1.6,1.5,3.1,0.099,,1.1,0.4,1.5,1.3
221,Brandon Ingram\ingrabr01,SF,20,LAL,44,1484,12.6,0.518,0.128,0.389,3.2,13.9,8.5,15.3,1.1,1.6,14.6,22.2,,0.1,1.4,1.5,0.047,,-2.5,0.2,-2.4,-0.1
222,Kyrie Irving\irvinky01,PG,25,BOS,46,1513,24.2,0.592,0.363,0.238,2.1,10.2,6.2,29.7,1.8,0.8,10.2,31.4,,4.5,2.3,6.8,0.216,,6.2,-0.4,5.8,3.0
223,Jonathan Isaac\isaacjo01,PF,20,ORL,15,284,9.6,0.482,0.243,0.243,4.6,17.1,10.8,5.4,1.7,4.1,15.5,14.8,,-0.2,0.3,0.1,0.019,,-4.7,1.6,-3.0,-0.1
224,Wesley Iwundu\iwundwe01,SF,23,ORL,29,384,9.8,0.508,0.209,0.187,3.7,12.6,8.1,11.3,1.3,0.4,9.2,12.3,,0.3,0.2,0.4,0.052,,-2.6,-0.7,-3.3,-0.1
225,Jarrett Jack\jackja01,PG,34,NYK,48,1284,11.7,0.486,0.184,0.157,1.4,12.4,7.1,32.7,1.2,0.2,19.8,16.7,,0.5,0.7,1.3,0.047,,-1.5,-1.4,-2.8,-0.3
226,Demetrius Jackson\jacksde01,PG,23,HOU,12,63,-0.6,0.286,0.429,0.000,7.2,12.7,9.9,10.6,3.1,1.4,41.7,16.5,,-0.3,0.1,-0.2,-0.166,,-9.9,2.1,-7.8,-0.1
227,Josh Jackson\jacksjo02,SF,20,PHO,47,1030,9.5,0.466,0.272,0.324,4.9,13.2,9.0,8.9,1.9,1.1,13.2,24.1,,-1.2,0.6,-0.6,-0.029,,-3.7,-1.5,-5.1,-0.8
228,Justin Jackson\jacksju01,SF,22,SAC,34,593,6.9,0.470,0.457,0.087,1.9,11.2,6.4,5.5,1.0,1.0,9.6,15.0,,-0.4,0.1,-0.2,-0.019,,-3.5,-2.2,-5.7,-0.6
229,Reggie Jackson\jacksre01,PG,27,DET,33,894,16.7,0.540,0.305,0.232,2.7,9.2,5.9,33.5,1.2,0.3,15.5,26.3,,1.1,0.7,1.8,0.097,,1.5,-2.0,-0.5,0.3
230,LeBron James\jamesle01,PF,33,CLE,47,1738,28.4,0.628,0.257,0.322,3.6,20.1,12.0,43.1,2.2,2.6,17.3,31.0,,6.0,1.7,7.6,0.211,,7.1,2.0,9.0,4.9
231,Mike James\jamesmi02,PG,27,PHO,32,669,14.4,0.476,0.311,0.269,1.9,12.7,7.2,29.1,1.9,0.8,12.3,25.2,,0.1,0.4,0.4,0.031,,-0.5,-1.6,-2.1,0.0
232,Al Jefferson\jeffeal01,C,33,IND,22,315,17.8,0.544,0.008,0.153,7.0,28.1,17.7,8.9,1.6,3.1,9.7,22.0,,0.3,0.5,0.8,0.122,,-2.8,0.5,-2.3,0.0
233,Richard Jefferson\jefferi01,SF,37,DEN,15,133,5.2,0.480,0.292,0.292,1.7,10.2,5.9,9.1,0.4,0.0,12.9,10.2,,0.0,0.0,0.1,0.018,,-4.3,-2.2,-6.5,-0.2
234,Jonas Jerebko\jerebjo01,PF,30,UTA,41,694,13.5,0.583,0.427,0.150,6.1,17.1,11.5,6.8,1.3,0.9,7.6,15.5,,1.2,0.7,1.8,0.126,,0.1,-0.6,-0.5,0.3
235,Amir Johnson\johnsam01,C,30,PHI,42,648,15.6,0.568,0.106,0.351,13.2,19.3,16.4,13.0,2.1,3.7,16.3,13.7,,1.1,1.2,2.2,0.165,,-0.2,3.5,3.3,0.9
236,Brice Johnson\johnsbr02,PF,23,LAC,9,38,21.6,0.673,0.091,0.182,5.8,31.8,18.9,4.2,7.7,4.4,25.2,18.1,,0.0,0.1,0.1,0.174,,-2.7,6.5,3.8,0.1
237,Dakari Johnson\johnsda04,C,22,OKC,21,127,16.2,0.559,0.000,0.400,9.5,12.8,11.1,9.4,2.0,4.4,8.9,15.4,,0.3,0.2,0.4,0.166,,-1.4,1.4,0.0,0.1
238,James Johnson\johnsja01,PF,30,MIA,40,1070,14.6,0.554,0.317,0.269,3.5,18.1,10.8,24.0,1.7,2.0,18.7,19.6,,0.8,1.4,2.2,0.097,,-0.6,1.5,0.9,0.8
239,Joe Johnson\johnsjo02,SF,36,UTA,28,617,9.0,0.485,0.362,0.116,2.0,15.6,8.7,10.2,0.9,0.7,11.8,17.4,,-0.3,0.5,0.2,0.014,,-3.5,-0.7,-4.2,-0.3
240,Stanley Johnson\johnsst04,SF,21,DET,35,958,8.2,0.472,0.488,0.260,2.1,13.4,7.6,7.5,2.3,0.6,10.0,14.3,,-0.1,1.2,1.0,0.052,,-2.3,1.2,-1.1,0.2
241,Tyler Johnson\johnsty01,PG,25,MIA,40,1174,13.1,0.549,0.460,0.200,2.1,12.0,7.0,11.6,1.3,1.8,10.0,18.9,,1.0,1.2,2.3,0.092,,-0.2,-0.2,-0.4,0.5
242,Wesley Johnson\johnswe01,SF,30,LAC,43,1061,10.4,0.521,0.493,0.188,2.0,14.7,8.4,5.6,2.4,3.8,13.3,13.9,,-0.1,1.3,1.3,0.057,,-2.0,2.5,0.5,0.7
243,Nikola Jokic\jokicni01,C,22,DEN,41,1278,22.3,0.572,0.285,0.304,9.7,27.8,18.7,26.1,1.9,2.0,15.8,23.5,,3.1,1.8,4.8,0.182,,3.2,2.5,5.7,2.5
244,Damian Jones\jonesda03,C,22,GSW,1,2,12.0,,,,61.3,0.0,27.9,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.321,,8.3,-6.1,2.3,0.0
245,Derrick Jones\jonesde02,SF,20,TOT,15,208,10.5,0.502,0.270,0.541,8.2,7.1,7.7,5.4,1.0,5.2,9.8,11.0,,0.2,0.2,0.4,0.088,,-2.4,1.8,-0.6,0.1
245,Derrick Jones\jonesde02,SF,20,PHO,6,33,18.6,0.678,0.500,1.500,6.4,6.7,6.5,12.4,1.5,9.7,13.1,9.8,,0.1,0.0,0.1,0.183,,0.5,3.8,4.3,0.1
245,Derrick Jones\jonesde02,SF,20,MIA,9,175,8.9,0.472,0.242,0.424,8.6,7.2,7.9,4.1,0.9,4.4,9.3,11.2,,0.1,0.2,0.3,0.070,,-3.0,1.4,-1.5,0.0
246,Jalen Jones\jonesja04,SF,24,TOT,5,22,8.3,0.595,0.200,0.400,0.0,14.8,7.7,0.0,0.0,0.0,0.0,11.8,,0.0,0.0,0.0,0.072,,-4.5,-5.3,-9.8,0.0
246,Jalen Jones\jonesja04,SF,24,NOP,4,19,5.2,0.512,0.250,0.500,0.0,17.2,8.9,0.0,0.0,0.0,0.0,11.3,,0.0,0.0,0.0,0.048,,-6.1,-5.3,-11.4,0.0
246,Jalen Jones\jonesja04,SF,24,DAL,1,3,28.2,1.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,,0.0,0.0,0.0,0.227,,5.7,-5.1,0.6,0.0
247,Tyus Jones\jonesty01,PG,21,MIN,51,933,13.6,0.565,0.379,0.237,1.5,9.9,5.6,20.0,3.3,0.2,14.1,12.1,,1.4,0.8,2.2,0.114,,0.7,-0.1,0.7,0.6
248,DeAndre Jordan\jordade01,C,29,LAC,43,1378,19.8,0.669,0.000,0.497,15.0,35.6,25.3,5.8,0.7,2.5,16.2,14.4,,3.6,1.9,5.5,0.192,,0.5,1.2,1.7,1.3
249,Cory Joseph\josepco01,PG,26,IND,49,1266,11.7,0.527,0.326,0.159,1.6,10.5,6.1,16.6,1.6,0.8,11.9,14.9,,1.1,0.9,2.0,0.076,,-0.8,-0.5,-1.2,0.3
250,Frank Kaminsky\kaminfr01,PF,24,CHO,44,1015,13.8,0.525,0.370,0.231,2.9,15.1,8.9,10.1,1.0,1.1,7.2,20.7,,0.9,1.0,1.9,0.091,,-0.4,-0.7,-1.1,0.2
251,Enes Kanter\kanteen01,C,25,NYK,47,1195,23.7,0.638,0.004,0.229,15.5,28.4,22.1,9.3,1.0,1.8,13.4,21.7,,3.6,1.4,5.0,0.202,,2.7,0.0,2.8,1.4
252,Luke Kennard\kennalu01,SG,21,DET,40,724,12.3,0.563,0.431,0.138,1.8,11.7,6.6,10.6,1.9,0.9,13.4,17.4,,0.4,0.8,1.2,0.081,,-1.2,-0.1,-1.3,0.1
253,Michael Kidd-Gilchrist\kiddgmi01,SF,24,CHO,40,1060,14.3,0.536,0.006,0.300,5.0,13.9,9.4,7.0,1.5,2.0,6.2,17.0,,1.3,1.2,2.5,0.115,,-1.5,1.3,-0.2,0.5
254,Sean Kilpatrick\kilpase01,SG,28,TOT,26,259,6.7,0.448,0.504,0.197,0.4,19.1,9.7,12.0,0.4,0.3,13.0,24.6,,-0.5,0.2,-0.3,-0.058,,-5.3,-3.3,-8.7,-0.4
254,Sean Kilpatrick\kilpase01,SG,28,BRK,16,183,5.4,0.419,0.488,0.221,0.6,19.8,10.1,12.7,0.5,0.4,14.5,25.8,,-0.5,0.1,-0.4,-0.094,,-6.7,-2.5,-9.2,-0.3
254,Sean Kilpatrick\kilpase01,SG,28,MIL,10,76,9.9,0.534,0.548,0.129,0.0,17.5,8.7,10.3,0.0,0.0,8.4,21.5,,0.0,0.0,0.0,0.029,,-2.1,-5.4,-7.4,-0.1
255,Maxi Kleber\klebima01,PF,26,DAL,43,765,13.0,0.563,0.364,0.169,6.4,13.9,10.0,6.1,1.1,3.4,7.1,13.5,,1.0,0.7,1.7,0.109,,-0.9,1.2,0.3,0.4
256,Furkan Korkmaz\korkmfu01,SG,20,PHI,6,32,4.3,0.349,0.667,0.167,7.0,13.0,10.2,8.6,1.5,0.0,7.2,18.4,,0.0,0.0,0.0,-0.017,,-4.3,-2.3,-6.6,0.0
257,Kyle Korver\korveky01,SG,36,CLE,47,1013,13.1,0.642,0.778,0.137,0.7,9.2,5.0,8.7,0.8,1.2,9.2,16.1,,1.8,0.1,2.0,0.093,,2.1,-2.8,-0.7,0.3
258,Kosta Koufos\koufoko01,C,28,SAC,45,832,16.0,0.546,0.000,0.249,11.3,25.4,18.1,9.4,1.9,2.2,12.6,14.6,,1.0,0.8,1.8,0.105,,-1.5,1.2,-0.3,0.4
259,Kyle Kuzma\kuzmaky01,PF,22,LAL,47,1438,15.1,0.559,0.399,0.209,4.5,16.2,10.3,10.0,0.9,1.1,11.1,22.9,,1.4,1.3,2.6,0.088,,0.3,-1.2,-0.9,0.4
260,Mindaugas Kuzminskas\kuzmimi01,SF,28,NYK,1,2,-41.6,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,,0.0,0.0,0.0,-1.061,,-37.0,-12.8,-49.8,0.0
261,Skal Labissiere\labissk01,PF,21,SAC,42,754,15.2,0.517,0.081,0.270,9.4,19.5,14.3,7.7,1.3,3.5,11.9,21.6,,0.4,0.6,0.9,0.058,,-2.7,-0.5,-3.1,-0.2
262,Jeremy Lamb\lambje01,SG,25,CHO,46,1175,17.6,0.550,0.292,0.280,2.7,16.6,9.6,15.2,1.4,1.4,8.4,23.3,,1.9,1.4,3.3,0.134,,1.1,0.2,1.3,1.0
263,Shane Larkin\larkish01,PG,25,BOS,36,412,9.4,0.505,0.409,0.191,1.6,9.6,5.7,14.7,1.5,0.4,11.4,15.3,,0.2,0.6,0.8,0.089,,-2.7,-0.2,-2.9,-0.1
264,Joffrey Lauvergne\lauvejo01,C,26,SAS,31,334,14.3,0.519,0.045,0.273,11.9,19.9,15.9,12.4,1.1,0.3,15.2,19.6,,0.2,0.5,0.7,0.102,,-2.1,0.1,-1.9,0.0
265,Zach LaVine\lavinza01,SG,22,CHI,7,151,13.7,0.486,0.371,0.225,1.4,21.9,11.4,18.4,1.3,0.0,10.1,31.6,,-0.1,0.1,0.0,-0.007,,-1.9,-2.5,-4.4,-0.1
266,Jake Layman\laymaja01,SF,23,POR,21,124,3.2,0.348,0.457,0.057,2.7,7.9,5.4,7.7,1.2,2.0,10.0,14.2,,-0.2,0.1,-0.1,-0.037,,-5.6,-0.3,-5.9,-0.1
267,T.J. Leaf\leaftj01,PF,20,IND,39,373,10.1,0.537,0.304,0.071,7.7,11.7,9.7,2.6,0.7,0.7,7.2,14.9,,0.3,0.2,0.5,0.069,,-1.7,-2.9,-4.6,-0.2
268,Courtney Lee\leeco01,SG,32,NYK,50,1649,14.3,0.574,0.356,0.165,1.8,9.7,5.8,12.6,2.0,0.6,10.1,17.5,,2.4,1.2,3.6,0.104,,1.8,-0.3,1.4,1.4
269,Alex Len\lenal01,C,24,PHO,42,872,19.3,0.612,0.000,0.581,13.8,28.7,21.1,9.3,0.8,3.4,15.6,16.6,,2.0,0.8,2.8,0.156,,-0.3,1.3,1.0,0.7
270,Kawhi Leonard\leonaka01,SF,26,SAS,9,210,26.5,0.572,0.315,0.342,3.2,19.0,11.1,18.4,4.4,3.6,11.1,30.9,,0.4,0.5,0.9,0.207,,3.0,3.4,6.4,0.4
271,Meyers Leonard\leoname01,C,25,POR,17,152,19.3,0.688,0.294,0.157,5.2,22.3,13.9,9.8,1.0,0.0,8.4,17.3,,0.5,0.2,0.7,0.215,,2.1,-1.2,0.9,0.1
272,Jon Leuer\leuerjo01,PF,28,DET,8,136,8.7,0.505,0.083,0.417,5.7,21.4,13.3,5.3,0.4,1.9,15.8,16.5,,0.0,0.1,0.1,0.044,,-5.7,-0.3,-6.0,-0.1
273,Caris LeVert\leverca01,SF,23,BRK,47,1253,13.3,0.509,0.345,0.271,3.2,12.6,7.8,25.6,2.2,0.9,17.3,22.4,,-0.1,1.3,1.2,0.048,,-0.9,0.6,-0.3,0.5
274,DeAndre Liggins\liggide01,SG,29,TOT,34,515,5.8,0.471,0.535,0.070,1.4,10.7,6.0,7.7,2.7,1.9,17.0,7.8,,-0.2,0.5,0.3,0.028,,-3.1,1.2,-1.9,0.0
274,DeAndre Liggins\liggide01,SG,29,MIL,31,480,5.0,0.424,0.554,0.077,1.2,11.1,6.1,7.4,2.8,1.8,17.2,7.7,,-0.3,0.5,0.2,0.016,,-3.6,1.3,-2.2,0.0
274,DeAndre Liggins\liggide01,SG,29,NOP,3,35,16.5,1.000,0.333,0.000,3.3,6.2,4.8,12.1,1.4,2.4,14.3,8.8,,0.1,0.0,0.1,0.191,,3.2,-1.1,2.1,0.0
275,Damian Lillard\lillada01,PG,27,POR,42,1536,23.5,0.587,0.430,0.343,2.3,11.8,7.1,30.5,1.3,0.8,12.6,29.9,,4.8,1.5,6.3,0.196,,6.3,-0.9,5.4,2.9
276,Jeremy Lin\linje01,PG,29,BRK,1,25,16.3,0.597,0.167,0.583,0.0,0.0,0.0,27.6,0.0,0.0,16.6,31.0,,0.1,0.0,0.1,0.104,,-2.8,-9.9,-12.7,-0.1
277,Shaun Livingston\livinsh01,PG,32,GSW,42,662,11.5,0.539,0.010,0.186,3.9,8.4,6.3,16.8,1.2,1.7,13.9,16.1,,0.6,0.5,1.2,0.084,,-2.2,-1.0,-3.3,-0.2
278,Kevon Looney\looneke01,C,21,GSW,39,435,13.4,0.621,0.000,0.506,11.6,15.8,13.9,6.1,1.1,4.5,17.2,11.7,,0.7,0.6,1.3,0.139,,-0.9,1.5,0.5,0.3
279,Brook Lopez\lopezbr01,C,29,LAL,40,842,15.8,0.532,0.420,0.214,5.5,14.4,9.9,12.0,1.0,5.2,12.2,25.4,,0.3,1.0,1.4,0.078,,-0.6,0.4,-0.2,0.4
280,Robin Lopez\lopezro01,C,29,CHI,49,1376,15.1,0.557,0.013,0.144,8.4,10.3,9.3,12.2,0.4,2.6,13.7,20.7,,1.2,0.7,1.9,0.067,,-1.4,-0.1,-1.5,0.2
281,Kevin Love\loveke01,C,29,CLE,46,1311,23.0,0.611,0.433,0.378,8.1,29.1,18.8,9.5,1.2,1.3,9.5,25.6,,4.0,1.2,5.2,0.189,,2.8,-1.8,1.0,1.0
282,Kyle Lowry\lowryky01,PG,31,TOR,44,1449,18.6,0.584,0.606,0.284,2.8,16.9,10.0,29.4,1.8,0.4,16.1,22.2,,3.3,1.9,5.2,0.171,,4.5,0.6,5.0,2.6
283,Timothe Luwawu-Cabarrot\luwawti01,SF,22,PHI,41,688,8.5,0.542,0.590,0.238,2.1,7.9,5.1,9.0,0.8,0.5,11.6,17.5,,0.4,0.5,0.9,0.066,,-1.3,-2.4,-3.7,-0.3
284,Tyler Lydon\lydonty01,PF,21,DEN,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.005,,-5.9,-0.4,-6.3,0.0
285,Trey Lyles\lylestr01,PF,22,DEN,43,878,18.8,0.621,0.407,0.283,4.4,23.4,13.8,8.6,1.2,1.6,9.5,20.4,,2.0,0.9,2.9,0.160,,1.2,-1.2,0.0,0.4
286,Shelvin Mack\macksh01,PG,27,ORL,34,562,11.9,0.486,0.271,0.318,1.9,11.0,6.4,28.8,1.6,0.6,16.0,13.5,,0.5,0.3,0.8,0.066,,-2.1,-1.5,-3.6,-0.2
287,Josh Magette\magetjo01,PG,28,ATL,9,69,17.1,0.631,0.429,0.429,1.6,8.3,4.9,36.7,1.4,0.0,10.7,11.9,,0.3,0.0,0.3,0.201,,1.1,-4.5,-3.4,0.0
288,Ian Mahinmi\mahinia01,C,31,WAS,46,657,11.0,0.601,0.000,0.590,12.5,16.1,14.3,6.9,1.7,3.2,27.2,13.5,,0.4,0.8,1.3,0.092,,-2.3,2.2,-0.1,0.3
289,Thon Maker\makerth01,C,20,MIL,47,847,9.7,0.491,0.313,0.313,7.3,16.0,11.6,5.1,1.5,4.0,12.9,13.8,,0.1,0.8,0.9,0.050,,-3.0,0.5,-2.5,-0.1
290,Boban Marjanovic\marjabo01,C,29,DET,18,157,19.4,0.591,0.000,0.586,8.4,27.4,17.6,13.3,1.0,3.4,20.0,31.1,,0.1,0.2,0.3,0.106,,-3.8,0.4,-3.4,-0.1
291,Lauri Markkanen\markkla01,PF,20,CHI,46,1385,15.7,0.550,0.497,0.180,3.7,24.2,13.7,7.1,0.9,1.7,7.9,22.0,,1.2,1.3,2.5,0.086,,-0.2,-1.0,-1.2,0.3
292,Jarell Martin\martija01,PF,23,MEM,45,849,11.2,0.529,0.196,0.217,7.5,14.8,11.1,4.6,1.5,3.5,13.2,16.3,,0.3,0.9,1.1,0.064,,-3.0,0.5,-2.5,-0.1
293,Frank Mason\masonfr01,PG,23,SAC,29,539,12.4,0.483,0.215,0.315,2.7,10.8,6.6,23.9,1.4,0.7,14.3,22.1,,0.0,0.1,0.1,0.011,,-2.2,-2.5,-4.7,-0.4
